opening_id,engine_seed,months,death_turn,surface,root_cause,doom_final,cash_m6,publish_paper,safety_research,capability_research,buy_compute,fundraise_small,fundraise_big,take_loan,apply_grant,network,audit_safety,order_supplies,team_building,media_campaign,desperation_lever,funding_strings,hire_safety_researcher,hire_capability_researcher
26,sweep-02,12,262,doom,ledger,100.0,-4080,0,4,1,2,2,4,3,1,2,2,5,3,1,2,0,0,4
27,sweep-00,16,358,doom,doom,100.0,71997,4,2,3,2,5,2,0,2,1,3,3,4,1,1,0,1,2
27,sweep-01,22,477,doom,doom,100.0,204504,4,2,3,2,5,2,0,2,1,3,3,4,1,1,0,1,2
27,sweep-02,20,435,doom,ledger,100.0,183829,4,2,3,2,5,2,0,2,1,3,3,4,1,1,0,1,2
28,sweep-00,16,354,doom,doom,100.0,-6035,2,1,1,2,2,1,2,6,1,1,2,2,4,3,3,1,2
28,sweep-01,18,396,doom,doom,100.0,65522,2,1,1,2,2,1,2,6,1,1,2,2,4,3,3,1,2
28,sweep-02,23,507,doom,doom,100.0,4632,2,1,1,2,2,1,2,6,1,1,2,2,4,3,3,1,2
29,sweep-00,16,353,doom,ledger,100.0,3747,2,3,3,4,2,1,1,1,0,3,2,2,2,2,1,4,3
29,sweep-01,21,465,doom,doom,100.0,574,2,3,3,4,2,1,1,1,0,3,2,2,2,2,1,4,3
29,sweep-02,19,431,doom,doom,100.0,24281,2,3,3,4,2,1,1,1,0,3,2,2,2,2,1,4,3
30,sweep-00,7,165,doom,ledger,100.0,94789,2,3,4,2,2,2,3,1,3,1,1,4,2,1,2,2,1
30,sweep-01,20,436,doom,doom,100.0,112541,2,3,4,2,2,2,3,1,3,1,1,4,2,1,2,2,1
30,sweep-02,8,183,doom,doom,100.0,50482,2,3,4,2,2,2,3,1,3,1,1,4,2,1,2,2,1
31,sweep-00,28,627,doom,doom,100.0,168126,2,1,2,1,4,1,2,2,3,0,5,2,3,2,2,3,1
31,sweep-01,12,266,doom,doom,100.0,68310,2,1,2,1,4,1,2,2,3,0,5,2,3,2,2,3,1
31,sweep-02,19,419,doom,ledger,100.0,27409,2,1,2,1,4,1,2,2,3,0,5,2,3,2,2,3,1
32,sweep-00,7,170,doom,ledger,100.0,673,3,6,3,0,0,2,4,4,0,5,2,0,2,3,1,0,1
32,sweep-01,5,124,doom,ledger,100.0,14000,3,6,3,0,0,2,4,4,0,5,2,0,2,3,1,0,1
32,sweep-02,7,170,doom,ledger,100.0,45238,3,6,3,0,0,2,4,4,0,5,2,0,2,3,1,0,1
33,sweep-00,6,130,doom,doom,100.0,39845,1,1,1,2,2,0,3,3,4,2,3,0,2,1,6,2,3
33,sweep-01,24,532,doom,ledger,100.0,123225,1,1,1,2,2,0,3,3,4,2,3,0,2,1,6,2,3
33,sweep-02,8,181,doom,doom,100.0,246204,1,1,1,2,2,0,3,3,4,2,3,0,2,1,6,2,3
34,sweep-00,5,114,doom,ledger,100.0,-2366,3,4,2,4,3,0,3,1,2,2,3,0,2,3,2,0,2
34,sweep-01,13,285,doom,ledger,100.0,128611,3,4,2,4,3,0,3,1,2,2,3,0,2,3,2,0,2
34,sweep-02,5,117,doom,ledger,100.0,-2310,3,4,2,4,3,0,3,1,2,2,3,0,2,3,2,0,2
35,sweep-00,6,140,doom,ledger,100.0,-1936,0,4,1,1,4,2,3,1,3,4,1,2,1,4,1,1,3
35,sweep-01,11,252,doom,doom,100.0,-4186,0,4,1,1,4,2,3,1,3,4,1,2,1,4,1,1,3
35,sweep-02,7,158,doom,ledger,100.0,-4091,0,4,1,1,4,2,3,1,3,4,1,2,1,4,1,1,3
36,sweep-00,16,362,doom,doom,100.0,2322,2,0,2,3,1,4,2,3,3,6,1,0,1,1,2,2,3
36,sweep-01,8,174,doom,doom,100.0,30969,2,0,2,3,1,4,2,3,3,6,1,0,1,1,2,2,3
36,sweep-02,17,382,doom,doom,100.0,2545,2,0,2,3,1,4,2,3,3,6,1,0,1,1,2,2,3
37,sweep-00,5,124,doom,ledger,100.0,-4177,1,1,5,1,3,2,2,3,4,1,1,2,3,1,0,2,4
37,sweep-01,8,178,doom,doom,100.0,58714,1,1,5,1,3,2,2,3,4,1,1,2,3,1,0,2,4
37,sweep-02,5,124,doom,ledger,100.0,16536,1,1,5,1,3,2,2,3,4,1,1,2,3,1,0,2,4
38,sweep-00,13,299,doom,doom,100.0,304199,2,4,2,1,1,3,3,1,1,1,2,3,3,1,3,2,3
38,sweep-01,14,319,doom,doom,100.0,393956,2,4,2,1,1,3,3,1,1,1,2,3,3,1,3,2,3
38,sweep-02,13,289,doom,doom,100.0,336098,2,4,2,1,1,3,3,1,1,1,2,3,3,1,3,2,3
39,sweep-00,17,376,doom,doom,100.0,64628,5,2,4,1,2,3,1,3,0,1,1,3,2,3,2,1,2
39,sweep-01,15,334,doom,doom,100.0,7726,5,2,4,1,2,3,1,3,0,1,1,3,2,3,2,1,2
39,sweep-02,13,302,doom,doom,100.0,45065,5,2,4,1,2,3,1,3,0,1,1,3,2,3,2,1,2
40,sweep-00,10,227,doom,doom,100.0,103051,1,4,0,0,4,2,3,4,0,1,2,2,2,2,3,2,4
40,sweep-01,17,383,doom,ledger,100.0,150205,1,4,0,0,4,2,3,4,0,1,2,2,2,2,3,2,4
40,sweep-02,4,99,doom,ledger,100.0,-1890,1,4,0,0,4,2,3,4,0,1,2,2,2,2,3,2,4
41,sweep-00,20,434,doom,doom,100.0,27867,4,0,1,1,3,0,0,3,2,3,3,3,6,3,1,2,1
41,sweep-01,22,479,doom,doom,100.0,77,4,0,1,1,3,0,0,3,2,3,3,3,6,3,1,2,1
41,sweep-02,18,413,doom,doom,100.0,117,4,0,1,1,3,0,0,3,2,3,3,3,6,3,1,2,1
42,sweep-00,4,99,doom,ledger,100.0,116326,0,4,2,3,4,2,3,3,0,2,2,3,3,1,0,2,2
